full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Festy Ebosele,20,1028271600,2002/08/02,Serie A,2022/2023,Defender,Udinese,39,14,25,Republic of Ireland,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,39,0,2.31,-1,-1,-1,17
Fikayo Tomori,25,882518400,1997/12/19,Serie A,2022/2023,Defender,AC Milan,1578,803,775,England,19,9,10,1,1,0,0,0,0,0,0,4,2,2,18,10,8,2,0,0.06,0,0.06,0.11,0,1578,1.03,88,83,789,0,0.11,205,320,59,11
Filip Benković,25,868777200,1997/07/13,Serie A,2022/2023,Defender,Udinese,0,0,0,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Filip Kostić,30,720604800,1992/11/01,Serie A,2022/2023,Midfielder,Juventus,1496,719,777,Serbia,21,11,10,2,1,1,5,4,1,0,0,13,7,6,17,8,9,1,0,0.42,0.3,0.12,0.13,0.12,748,1.02,88,71,1496,299,0.06,137,24,-1,6
Filip Đuričić,30,696758400,1992/01/30,Serie A,2022/2023,Midfielder,Sampdoria,1335,626,709,Serbia,20,10,10,2,1,1,0,0,0,0,0,2,1,1,25,10,15,6,0,0.13,0,0.13,0.14,0.13,668,1.69,53,67,223,0,0.4,127,304,-1,2
Filippo Bandinelli,27,796464000,1995/03/29,Serie A,2022/2023,Midfielder,Empoli,1433,734,699,Italy,21,10,11,2,1,1,0,0,0,0,0,7,5,2,15,7,8,4,0,0.13,0,0.13,0.12,0.13,717,0.94,96,68,358,0,0.25,128,343,-1,5
Filippo Di Stefano,19,1062054000,2003/08/28,Serie A,2022/2023,Forward,Fiorentina,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Filippo Missori,18,1080115200,2004/03/24,Serie A,2022/2023,Defender,Roma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Filippo Ranocchia,21,989823600,2001/05/14,Serie A,2022/2023,Midfielder,Monza,475,164,311,Italy,11,5,6,1,0,1,0,0,0,0,0,3,2,1,9,1,8,1,0,0.19,0,0.19,0,0.29,475,1.71,53,43,475,0,0.19,92,284,-1,9
Filippo Romagna,25,864630000,1997/05/26,Serie A,2022/2023,Defender,Sassuolo,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Filippo Terracciano,19,1044691200,2003/02/08,Serie A,2022/2023,Midfielder,Hellas Verona,516,288,228,Italy,12,6,6,0,0,0,0,0,0,0,0,2,2,0,4,3,1,0,0,0,0,0,0,0,0,0.7,129,43,0,0,0,366,201,-1,25
Filippo Tripi,21,1010304000,2002/01/06,Serie A,2022/2023,Defender,Roma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Flavio Paoletti,20,1042704000,2003/01/16,Serie A,2022/2023,Midfielder,Sampdoria,78,7,71,Italy,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-1,-1,-1,10
Flavius Daniliuc,21,988354800,2001/04/27,Serie A,2022/2023,Defender,Salernitana,1035,495,540,Austria,13,7,6,0,0,0,1,0,1,0,0,1,1,0,20,7,13,4,0,0.09,0.09,0,0,0,0,1.74,52,80,259,1035,0.35,230,141,152,15
Florian Thauvin,29,728035200,1993/01/26,Serie A,2022/2023,Midfielder,Udinese,18,0,18,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,-1,-1,-1,22
Fodé Ballo Touré,26,852278400,1997/01/03,Serie A,2022/2023,Midfielder,AC Milan,195,15,180,France,3,1,2,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0.46,0,0.46,0,0.5,195,0,0,65,0,0,0,-1,-1,-1,14
Francesco Acerbi,34,571478400,1988/02/10,Serie A,2022/2023,Defender,Inter Milan,1108,561,547,Italy,14,7,7,0,0,0,1,1,0,0,0,5,5,0,12,3,9,3,0,0.08,0.08,0,0,0,0,0.97,92,79,369,1108,0.24,229,154,51,23
Francesco Bardi,30,695721600,1992/01/18,Serie A,2022/2023,Goalkeeper,Bologna,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francesco Caputo,35,555231600,1987/08/06,Serie A,2022/2023,Forward,Empoli,1604,710,894,Italy,21,10,11,2,0,2,2,1,1,0,0,4,2,2,27,10,17,1,0,0.22,0.11,0.11,0,0.2,802,1.51,59,76,1604,802,0.06,145,126,-1,3
Francesco Di Mariano,26,829983600,1996/04/20,Serie A,2022/2023,Forward,Lecce,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francesco Raffaelli,17,1116658800,2005/05/21,Serie A,2022/2023,Goalkeeper,Bologna,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francesco Rossi,31,672735600,1991/04/27,Serie A,2022/2023,Goalkeeper,Atalanta,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Francisco Guillermo Ochoa Magaña,37,490086000,1985/07/13,Serie A,2022/2023,Goalkeeper,Salernitana,540,360,180,Mexico,6,4,2,0,0,0,0,0,0,0,0,0,0,0,17,8,9,0,0,0,0,0,0,0,0,2.83,32,90,0,0,0,243,198,164,12
Franck Ribery,39,418550400,1983/04/07,Serie A,2022/2023,Midfielder,Salernitana,36,36,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,-1,-1,-1,24
Franck Tsadjout,23,933145200,1999/07/28,Serie A,2022/2023,Forward,Cremonese,211,95,116,Italy,7,3,4,0,0,0,1,0,1,0,0,1,1,0,6,4,2,1,0,0.43,0.43,0,0,0,0,2.56,35,30,211,211,0.43,-1,-1,-1,8
Franco Ezequiel Carboni,19,1049443200,2003/04/04,Serie A,2022/2023,Defender,Monza,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Frédéric Veseli,30,722246400,1992/11/20,Serie A,2022/2023,Defender,Salernitana,0,0,0,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gabriel Nascimento Resende Brazão,22,970729200,2000/10/05,Serie A,2022/2023,Goalkeeper,Inter Milan,0,0,0,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gabriel Tadeu Strefezza Rebelato,25,861346800,1997/04/18,Serie A,2022/2023,Forward,Lecce,1370,719,651,Brazil,19,9,10,7,4,3,0,0,0,1,0,3,0,3,19,11,8,2,0,0.46,0,0.46,0.5,0.41,196,1.25,72,72,685,0,0.13,23,270,-1,1
Gabriele ferrarini,22,955263600,2000/04/09,Serie A,2022/2023,Defender,Monza,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gabriele Guarino,18,1081926000,2004/04/14,Serie A,2022/2023,Defender,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gabriele Indragoli,18,1077264000,2004/02/20,Serie A,2022/2023,Defender,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gaetano Castrovilli,25,856166400,1997/02/17,Serie A,2022/2023,Midfielder,Fiorentina,53,48,5,Italy,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1.7,53,18,53,0,1.7,-1,-1,-1,16
Gary Alexis Medel Soto,35,554972400,1987/08/03,Serie A,2022/2023,Midfielder,Bologna,1276,754,522,Chile,17,9,8,0,0,0,1,0,1,0,0,2,2,0,23,8,15,5,0,0.07,0.07,0,0,0,0,1.62,55,75,255,1276,0.35,390,179,-1,21
Georginio Wijnaldum,32,658310400,1990/11/11,Serie A,2022/2023,Midfielder,Roma,11,0,11,Netherlands,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,17
Gerard Deulofeu,28,763545600,1994/03/13,Serie A,2022/2023,Forward,Udinese,1219,619,600,Spain,16,7,9,2,2,0,6,4,2,0,0,6,3,3,15,6,9,1,0,0.59,0.44,0.15,0.29,0,610,1.11,81,76,1219,203,0.07,115,6,-1,5
Gerard Yepes Laut,20,1030258800,2002/08/25,Serie A,2022/2023,Midfielder,Sampdoria,197,44,153,Spain,5,1,4,0,0,0,0,0,0,0,0,1,0,1,5,1,4,2,0,0,0,0,0,0,0,2.28,39,39,99,0,0.91,-1,-1,-1,19
Giacomo Bonaventura,33,619772400,1989/08/22,Serie A,2022/2023,Midfielder,Fiorentina,1344,696,648,Italy,18,10,8,3,2,1,0,0,0,0,0,4,2,2,20,12,8,3,0,0.2,0,0.2,0.26,0.14,448,1.34,67,75,448,0,0.2,88,295,-1,2
Giacomo Faticanti,18,1091257200,2004/07/31,Serie A,2022/2023,Midfielder,Roma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Giacomo Quagliata,22,950947200,2000/02/19,Serie A,2022/2023,Defender,Cremonese,488,241,247,Italy,13,7,6,0,0,0,0,0,0,0,0,3,3,0,10,5,5,0,0,0,0,0,0,0,0,1.84,49,38,0,0,0,375,378,157,22
Giacomo Raspadori,22,950860800,2000/02/18,Serie A,2022/2023,Forward,Napoli,614,352,262,Italy,15,8,7,1,1,0,0,0,0,0,0,5,3,2,5,3,2,1,0,0.15,0,0.15,0.26,0,614,0.73,123,41,614,0,0.15,116,241,-1,13
Gian Marco Fantoni,19,1074931200,2004/01/24,Serie A,2022/2023,Goalkeeper,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Giangiacomo Magnani,27,812790000,1995/10/04,Serie A,2022/2023,Defender,Hellas Verona,422,258,164,Italy,9,5,4,0,0,0,0,0,0,0,0,2,2,0,5,3,2,4,1,0,0,0,0,0,0,1.07,84,47,84,0,1.07,275,206,67,22
Gianluca Caprari,29,744015600,1993/07/30,Serie A,2022/2023,Forward,Monza,1342,702,640,Italy,21,11,10,4,1,3,1,1,0,1,0,6,4,2,24,10,14,4,0,0.34,0.07,0.27,0.13,0.42,336,1.61,56,64,336,1342,0.27,60,172,-1,1
Gianluca Frabotta,23,930207600,1999/06/24,Serie A,2022/2023,Defender,Lecce,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gianluca Gaetano,22,957510000,2000/05/05,Serie A,2022/2023,Midfielder,Napoli,30,15,15,Italy,3,1,2,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,10,0,30,0,-1,-1,-1,25
Gianluca Mancini,26,829724400,1996/04/17,Serie A,2022/2023,Defender,Roma,1740,843,897,Italy,21,10,11,0,0,0,1,0,1,0,0,8,5,3,16,5,11,5,0,0.05,0.05,0,0,0,0,0.83,109,83,348,1740,0.26,356,192,26,21
Gianluca Pegolo,41,354355200,1981/03/25,Serie A,2022/2023,Goalkeeper,Sassuolo,180,90,90,Italy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,22
Gianluca Saro,22,961916400,2000/06/25,Serie A,2022/2023,Goalkeeper,Cremonese,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Gianmarco Ferrari,30,705913200,1992/05/15,Serie A,2022/2023,Defender,Sassuolo,1530,635,895,Italy,19,8,11,1,0,1,0,0,0,0,0,5,3,2,23,6,17,5,0,0.06,0,0.06,0,0.1,1530,1.35,67,81,306,0,0.29,202,256,102,12
Gioele Zacchi,19,1057820400,2003/07/10,Serie A,2022/2023,Goalkeeper,Sassuolo,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Giorgio Scalvini,19,1071129600,2003/12/11,Serie A,2022/2023,Defender,Atalanta,1177,600,577,Italy,17,8,9,2,1,1,0,0,0,0,0,6,2,4,17,8,9,4,0,0.15,0,0.15,0.15,0.16,589,1.3,69,69,294,0,0.31,113,315,97,4
Giorgos Kiriakopoulos,26,823507200,1996/02/05,Serie A,2022/2023,Defender,Bologna,779,398,381,Greece,13,5,8,1,0,1,1,0,1,0,0,3,2,1,12,2,10,3,0,0.23,0.12,0.12,0,0.24,779,1.39,65,60,260,779,0.35,134,112,110,11
Giovanni Crociata,25,871282800,1997/08/11,Serie A,2022/2023,Midfielder,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Giovanni Di Lorenzo,29,744447600,1993/08/04,Serie A,2022/2023,Defender,Napoli,1879,889,990,Italy,21,10,11,1,0,1,3,1,2,0,0,9,4,5,15,8,7,2,0,0.19,0.14,0.05,0,0.09,1879,0.72,125,89,940,626,0.1,210,94,15,14
Giovanni Gabriele Garofani,20,1035097200,2002/10/20,Serie A,2022/2023,Goalkeeper,Juventus,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Giovanni Simeone,27,804927600,1995/07/05,Serie A,2022/2023,Forward,Napoli,167,70,97,Argentina,11,5,6,3,1,2,0,0,0,0,0,4,2,2,1,0,1,1,0,1.62,0,1.62,1.29,1.86,56,0.54,167,15,167,0,0.54,-1,-1,-1,5
Giulio Donati,32,634204800,1990/02/05,Serie A,2022/2023,Defender,Monza,211,90,121,Italy,4,1,3,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0.85,106,53,211,0,0.43,-1,-1,-1,29
Giulio Maggiore,24,889689600,1998/03/12,Serie A,2022/2023,Midfielder,Salernitana,658,261,397,Italy,10,4,6,0,0,0,0,0,0,0,0,2,1,1,10,3,7,1,0,0,0,0,0,0,0,1.37,66,66,658,0,0.14,263,235,-1,11
Giuseppe Pezzella,25,880790400,1997/11/29,Serie A,2022/2023,Defender,Lecce,632,244,388,Italy,9,4,5,0,0,0,1,1,0,0,0,0,0,0,11,4,7,1,0,0.14,0.14,0,0,0,0,1.57,57,70,632,632,0.14,222,96,134,12
Gleison Bremer Silva Nascimento,25,858672000,1997/03/18,Serie A,2022/2023,Defender,Juventus,1577,805,772,Brazil,18,9,9,1,1,0,0,0,0,0,0,10,5,5,17,8,9,4,0,0.06,0,0.06,0.11,0,1577,0.97,93,88,394,0,0.23,206,244,49,9
Gonzalo Escalante,29,733219200,1993/03/27,Serie A,2022/2023,Midfielder,Cremonese,556,363,193,Argentina,9,6,3,0,0,0,1,0,1,0,0,3,3,0,11,6,5,1,1,0.16,0.16,0,0,0,0,1.78,51,62,278,556,0.32,372,78,-1,25
Gonzalo Villar del Fraile,24,890640000,1998/03/23,Serie A,2022/2023,Midfielder,Sampdoria,694,419,275,Spain,15,8,7,0,0,0,0,0,0,0,0,2,1,1,14,8,6,2,0,0,0,0,0,0,0,1.82,50,46,347,0,0.26,315,310,-1,20
Gregoire Defrel,31,677142000,1991/06/17,Serie A,2022/2023,Forward,Sassuolo,401,187,214,France,10,5,5,1,0,1,0,0,0,0,0,3,3,0,4,0,4,2,0,0.22,0,0.22,0,0.42,401,0.9,100,40,201,0,0.45,77,264,-1,5
Grigoris Kastanos,24,886147200,1998/01/30,Serie A,2022/2023,Midfielder,Salernitana,297,177,120,Cyprus,12,6,6,0,0,0,0,0,0,0,0,1,1,0,7,3,4,2,0,0,0,0,0,0,0,2.12,42,25,149,0,0.61,348,349,-1,25
Guglielmo Vicario,26,844671600,1996/10/07,Serie A,2022/2023,Goalkeeper,Empoli,1890,900,990,Italy,21,10,11,0,0,0,0,0,0,0,0,7,5,2,22,8,14,2,0,0,0,0,0,0,0,1.05,86,90,945,0,0.1,341,339,63,25
Gvidas Gineitis,18,1082012400,2004/04/15,Serie A,2022/2023,Midfielder,Torino,0,0,0,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hakan Çalhanoğlu,28,760694400,1994/02/08,Serie A,2022/2023,Midfielder,Inter Milan,1538,903,635,Turkey,20,11,9,2,2,0,5,5,0,1,0,7,7,0,17,4,13,2,0,0.41,0.29,0.12,0.2,0,769,0.99,90,77,769,308,0.12,135,26,-1,7
Hamed Junior Traorè,22,950688000,2000/02/16,Serie A,2022/2023,Midfielder,Sassuolo,591,166,425,Ivory Coast,11,4,7,0,0,0,3,1,2,0,0,0,0,0,9,2,7,1,0,0.46,0.46,0,0,0,0,1.37,66,54,591,197,0.15,241,5,-1,27
Hans Hateboer,29,758102400,1994/01/09,Serie A,2022/2023,Defender,Atalanta,1340,621,719,Netherlands,16,7,9,1,0,1,1,1,0,0,0,7,2,5,16,9,7,7,0,0.13,0.07,0.07,0,0.13,1340,1.07,84,84,191,1340,0.47,191,173,69,15
Hans Nicolussi Caviglia,22,961311600,2000/06/18,Serie A,2022/2023,Midfielder,Salernitana,385,251,134,Italy,5,3,2,1,0,1,0,0,0,0,0,0,0,0,14,6,8,1,0,0.23,0,0.23,0,0.67,385,3.27,28,77,385,0,0.23,71,195,-1,10
Harry Winks,26,823248000,1996/02/02,Serie A,2022/2023,Midfielder,Sampdoria,298,90,208,England,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,1.21,75,75,0,0,0,399,399,-1,9
Henrikh Mkhitaryan,33,601372800,1989/01/21,Serie A,2022/2023,Midfielder,Inter Milan,1151,586,565,Armenia,18,9,9,1,0,1,1,0,1,0,0,6,6,0,11,2,9,3,0,0.16,0.08,0.08,0,0.16,1151,0.86,105,64,384,1151,0.23,167,161,-1,10
Herculano Bucancil Nabian,19,1075017600,2004/01/25,Serie A,2022/2023,Forward,Empoli,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hirving Rodrigo Lozano Bahena,27,807087600,1995/07/30,Serie A,2022/2023,Forward,Napoli,983,448,535,Mexico,19,9,10,3,2,1,3,2,1,1,0,9,4,5,6,2,4,2,0,0.55,0.27,0.27,0.4,0.17,328,0.55,164,52,492,328,0.18,58,38,-1,7
Hubert Dawid Idasiak,20,1012723200,2002/02/03,Serie A,2022/2023,Goalkeeper,Napoli,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ibrahim Sulemana Kakari,19,1053586800,2003/05/22,Serie A,2022/2023,Midfielder,Hellas Verona,353,118,235,Ghana,11,5,6,0,0,0,0,0,0,0,0,2,2,0,6,2,4,3,0,0,0,0,0,0,0,1.53,59,32,118,0,0.76,338,205,-1,24
Ibrahima M'baye,28,785232000,1994/11/19,Serie A,2022/2023,Defender,Bologna,0,0,0,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ignacio Pussetto,27,819532800,1995/12/21,Serie A,2022/2023,Midfielder,Sampdoria,149,60,89,Argentina,5,2,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.6,149,30,149,0,0.6,-1,-1,-1,13
Igor Julio dos Santos de Paulo,24,886838400,1998/02/07,Serie A,2022/2023,Defender,Fiorentina,1133,576,557,Brazil,16,8,8,0,0,0,0,0,0,0,0,2,1,1,16,8,8,7,1,0,0,0,0,0,0,1.27,71,71,162,0,0.56,220,259,90,15
Ilija Nestorovski,32,637228800,1990/03/12,Serie A,2022/2023,Forward,Udinese,103,23,80,FYR Macedonia,10,3,7,1,0,1,1,0,1,0,0,1,0,1,0,0,0,2,0,1.75,0.87,0.87,0,1.13,103,0,0,10,52,103,1.75,-1,-1,-1,8
Ionuț Andrei Radu,25,864802800,1997/05/28,Serie A,2022/2023,Goalkeeper,Cremonese,810,360,450,Romania,9,4,5,0,0,0,0,0,0,0,0,1,1,0,16,8,8,0,0,0,0,0,0,0,0,1.78,51,90,0,0,0,306,370,154,29
Isaac Ajayi Success,27,821001600,1996/01/07,Serie A,2022/2023,Forward,Udinese,1280,564,716,Nigeria,21,10,11,0,0,0,4,2,2,0,0,6,3,3,14,5,9,3,0,0.28,0.28,0,0,0,0,0.98,91,61,427,320,0.21,335,34,-1,19
Isak Hien,24,916214400,1999/01/13,Serie A,2022/2023,Midfielder,Hellas Verona,1417,743,674,Sweden,18,10,8,0,0,0,0,0,0,0,0,2,2,0,17,9,8,7,0,0,0,0,0,0,0,1.08,83,79,202,0,0.44,219,263,-1,18
Ismael Bennacer,25,880963200,1997/12/01,Serie A,2022/2023,Midfielder,AC Milan,1414,715,699,Algeria,19,9,10,1,0,1,1,1,0,0,0,4,2,2,16,8,8,5,0,0.13,0.06,0.06,0,0.13,1414,1.02,88,74,283,1414,0.32,199,181,-1,10
Ivan Ilić,21,984816000,2001/03/17,Serie A,2022/2023,Midfielder,Hellas Verona,853,409,444,Serbia,11,5,6,0,0,0,1,1,0,0,0,2,2,0,12,7,5,1,0,0.11,0.11,0,0,0,0,1.27,71,78,853,853,0.11,365,121,-1,27
Ivan Provedel,28,763891200,1994/03/17,Serie A,2022/2023,Goalkeeper,Lazio,1882,982,900,Italy,21,11,10,0,0,0,0,0,0,0,0,11,5,6,15,9,6,0,0,0,0,0,0,0,0,0.72,125,90,0,0,0,383,386,13,13
Ivan Radovanović,34,588841200,1988/08/29,Serie A,2022/2023,Midfielder,Salernitana,671,352,319,Serbia,10,4,6,0,0,0,0,0,0,0,0,2,1,1,12,4,8,2,1,0,0,0,0,0,0,1.61,56,67,224,0,0.4,350,352,-1,21
Iyenoma Destiny Udogie,20,1038470400,2002/11/28,Serie A,2022/2023,Defender,Udinese,1471,787,684,Italy,17,9,8,2,1,1,2,2,0,0,0,6,3,3,13,9,4,4,0,0.24,0.12,0.12,0.11,0.13,736,0.8,113,87,368,736,0.24,140,109,22,6
Jack Hendry,27,799830000,1995/05/07,Serie A,2022/2023,Defender,Cremonese,218,31,187,Scotland,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,1.65,55,55,218,0,0.41,-1,-1,-1,15
Jacopo De Matteis,20,1041062400,2002/12/28,Serie A,2022/2023,Goalkeeper,Salernitana,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jacopo Fazzini,19,1047801600,2003/03/16,Serie A,2022/2023,Midfielder,Empoli,237,132,105,Italy,11,7,4,0,0,0,0,0,0,0,0,6,4,2,3,1,2,2,0,0,0,0,0,0,0,1.14,79,22,119,0,0.76,-1,-1,-1,17
Jacopo Sala,31,691920000,1991/12/05,Serie A,2022/2023,Defender,Spezia,107,13,94,Italy,6,3,3,0,0,0,0,0,0,0,0,1,1,0,3,0,3,1,0,0,0,0,0,0,0,2.52,36,18,107,0,0.84,-1,-1,-1,24
Jacopo Seghetti,17,1108627200,2005/02/17,Serie A,2022/2023,Goalkeeper,Empoli,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jacopo Segre,25,856166400,1997/02/17,Serie A,2022/2023,Midfielder,Torino,20,0,20,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-1,-1,-1,15
Jaime Báez Stábile,27,798793200,1995/04/25,Serie A,2022/2023,Forward,Cremonese,96,62,34,Uruguay,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.88,48,48,0,0,0,-1,-1,-1,12
Jaka Bijol,23,918201600,1999/02/05,Serie A,2022/2023,Midfielder,Udinese,1386,671,715,Slovenia,17,9,8,2,1,1,0,0,0,0,0,6,3,3,16,9,7,4,0,0.13,0,0.13,0.13,0.13,693,1.04,87,82,347,0,0.26,132,331,-1,7
Jakub Kiwior,22,950601600,2000/02/15,Serie A,2022/2023,Defender,Spezia,1447,736,711,Poland,17,9,8,0,0,0,0,0,0,0,0,2,2,0,24,10,14,3,0,0,0,0,0,0,0,1.49,60,85,482,0,0.19,398,366,128,30
James Abankwah,19,1074240000,2004/01/16,Serie A,2022/2023,Defender,Udinese,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jan Oliveras Codina,18,1089183600,2004/07/07,Serie A,2022/2023,Forward,Roma,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Janis Antiste,20,1029654000,2002/08/18,Serie A,2022/2023,Forward,Sassuolo,50,50,0,France,2,2,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1.8,0,1.8,1.8,0,50,1.8,50,25,0,0,0,-1,-1,-1,6
